add-m,4,10000,80000,11974650,149,0
add-c,4,10000,80000,7134484,89,0
add-none,8,10000,160000,3949453,24,540
add-s,8,10000,160000,87904253,549,0
add-m,8,10000,160000,31399016,196,0
add-c,8,10000,160000,16534769,103,0
add-none,12,10000,240000,6415592,26,615
add-s,12,10000,240000,157499609,656,0
add-m,12,10000,240000,47738703,198,0
add-c,12,10000,240000,25844934,107,0
